rank,package,version,file_path,class_name,line_start,line_end,read_or_observer_method,mutated_state,later_read_or_branch,composition_or_threshold_site,candidate_strength,expected_behavior_difference,harness_feasibility,notes
1,httpcore,1.0.9,httpcore-1.0.9\httpcore\_models.py,Response,,,read,_content,response.read() changes later response.content from exception to bytes,,high,response.read() changes later response.content from exception to bytes,easy,source=expanded_queue_available_source; state_mutating_reader
99,h2,4.3.0,h2-4.3.0\src\h2\windows.py,WindowManager,22,,process_bytes,_bytes_processed,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
100,importlib-metadata,9.0.0,importlib_metadata-9.0.0\importlib_metadata\_context.py,ExceptionTrap,8,,__exit__,exc_info,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
101,jinja2,3.1.6,jinja2-3.1.6\src\jinja2\compiler.py,CodeGenerator,300,,temporary_identifier,_last_identifier,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
102,jinja2,3.1.6,jinja2-3.1.6\src\jinja2\utils.py,Cycler,677,,next,pos,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
103,jinja2,3.1.6,jinja2-3.1.6\src\jinja2\utils.py,Joiner,731,,__call__,used,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
104,jinja2,3.1.6,jinja2-3.1.6\src\jinja2\runtime.py,LoopContext,394,,length,"_iterator,_length",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
105,jinja2,3.1.6,jinja2-3.1.6\src\jinja2\parser.py,Parser,48,,free_identifier,_last_identifier,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
106,jinja2,3.1.6,jinja2-3.1.6\src\jinja2\lexer.py,TokenStream,319,,look,current,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
107,jinja2,3.1.6,jinja2-3.1.6\src\jinja2\ext.py,_CommentFinder,734,,find_backwards,offset,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
108,jsonpatch,1.33,jsonpatch-1.33\jsonpatch.py,AddOperation,272,,_on_undo_remove,key,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
109,jsonpatch,1.33,jsonpatch-1.33\jsonpatch.py,MoveOperation,366,,_on_undo_remove,"from_key,key",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
110,jsonpatch,1.33,jsonpatch-1.33\jsonpatch.py,RemoveOperation,238,,_on_undo_remove,key,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
111,loguru,0.7.3,loguru-0.7.3\loguru\_file_sink.py,RotationTime,108,,__call__,_limit,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
112,markdown,3.10.2,markdown-3.10.2\markdown\extensions\admonition.py,AdmonitionProcessor,50,,parse_content,"content_indent,current_sibling",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
113,markdown,3.10.2,markdown-3.10.2\markdown\blockparser.py,BlockParser,75,,parseDocument,root,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
114,markdown,3.10.2,markdown-3.10.2\markdown\extensions\codehilite.py,CodeHilite,58,,hilite,"lang,src",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
115,markdown,3.10.2,markdown-3.10.2\markdown\extensions\fenced_code.py,FencedBlockPreprocessor,53,,run,"checked_for_deps,codehilite_conf,use_attr_list",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
116,markdown,3.10.2,markdown-3.10.2\markdown\blockprocessors.py,HRProcessor,516,,test,match,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
117,markdown,3.10.2,markdown-3.10.2\markdown\htmlparser.py,HTMLExtractor,120,,parse_starttag,"__starttag_text,lasttag",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
118,markdown,3.10.2,markdown-3.10.2\markdown\extensions\md_in_html.py,HTMLExtractorExtra,37,,get_element,treebuilder,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
119,markdown,3.10.2,markdown-3.10.2\markdown\util.py,HtmlStash,216,,store,html_counter,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
120,markdown,3.10.2,markdown-3.10.2\markdown\treeprocessors.py,InlineProcessor,75,,run,"ancestors,parent_map",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
121,markdown,3.10.2,markdown-3.10.2\markdown\core.py,Markdown,46,,build_parser,"inlinePatterns,parser,postprocessors,preprocessors,treeprocessors",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
122,markdown,3.10.2,markdown-3.10.2\markdown\blockprocessors.py,OListProcessor,327,,get_items,STARTSWITH,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
123,markdown,3.10.2,markdown-3.10.2\markdown\extensions\tables.py,TableProcessor,38,,test,"border,separator",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
124,mccabe,0.7.0,mccabe-0.7.0\mccabe.py,ASTVisitor,22,,dispatch,node,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
125,mccabe,0.7.0,mccabe-0.7.0\mccabe.py,PathGraphingAstVisitor,94,,appendPathNode,tail,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
126,more-itertools,11.0.2,more_itertools-11.0.2\more_itertools\more.py,countable,4505,,__next__,items_seen,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
127,more-itertools,11.0.2,more_itertools-11.0.2\more_itertools\more.py,seekable,2917,,__next__,_index,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
128,more-itertools,11.0.2,more_itertools-11.0.2\more_itertools\more.py,time_limited,3526,,__next__,timed_out,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
129,multidict,6.7.1,multidict-6.7.1\multidict\_multidict_py.py,MultiDict,615,,popitem,_used,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
130,packaging,26.2,packaging-26.2\src\packaging\_tokenizer.py,Tokenizer,91,,check,next_token,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
131,pathspec,1.1.1,pathspec-1.1.1\pathspec\_backends\hyperscan\gitignore.py,HyperscanGiBackend,40,,match_file,_out,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
132,pathspec,1.1.1,pathspec-1.1.1\pathspec\_backends\hyperscan\pathspec.py,HyperscanPsBackend,39,,match_file,_out,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
133,pendulum,3.2.0,pendulum\duration.py,AbsoluteDuration,481,,__new__,"_days,_microseconds,_months,_total,_years",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
134,pendulum,3.2.0,pendulum\duration.py,Duration,46,,__new__,"_days,_microseconds,_months,_remaining_days,_seconds,_signature,_total,_weeks,_years",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
135,pycodestyle,2.14.0,pycodestyle-2.14.0\pycodestyle.py,BaseReport,2165,,error,"file_errors,total_errors",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
136,pycodestyle,2.14.0,pycodestyle-2.14.0\pycodestyle.py,Checker,1868,,readline,"indent_char,line_number",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
137,pycodestyle,2.14.0,pycodestyle-2.14.0\pycodestyle.py,StandardReport,2261,,init_file,_deferred_print,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
138,pydocstyle,6.3.0,pydocstyle-6.3.0\src\pydocstyle\violations.py,Error,17,,__str__,explanation,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
139,pydocstyle,6.3.0,pydocstyle-6.3.0\src\pydocstyle\parser.py,Parser,418,,parse,"_accumulated_decorators,dunder_all,dunder_all_error,filename,future_imports,log,source,stream",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
140,pydocstyle,6.3.0,pydocstyle-6.3.0\src\pydocstyle\parser.py,TokenStream,358,,move,"current,got_logical_newline,line",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
141,pygments,2.20.0,pygments-2.20.0\scripts\debug_lexer.py,DebuggingRegexLexer,31,,get_tokens_unprocessed,"ctx,m",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
142,pygments,2.20.0,pygments-2.20.0\pygments\formatters\terminal256.py,EscapeSequence,34,,color_string,bold,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
143,pygments,2.20.0,pygments-2.20.0\pygments\lexers\robotframework.py,ForLoop,302,,_tokenize,_in_arguments,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
144,pygments,2.20.0,pygments-2.20.0\pygments\formatters\groff.py,GroffFormatter,18,,_wrap_line,_linelen,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
145,pygments,2.20.0,pygments-2.20.0\pygments\lexers\textfmts.py,HttpLexer,116,,get_tokens_unprocessed,content_type,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
146,pygments,2.20.0,pygments-2.20.0\pygments\lexers\robotframework.py,KeywordCall,269,,_tokenize,"_assigns,_keyword_found",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
147,pygments,2.20.0,pygments-2.20.0\pygments\lexers\mime.py,MIMELexer,21,,get_content_type_subtokens,boundary,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
148,pygments,2.20.0,pygments-2.20.0\pygments\lexers\modula2.py,Modula2Lexer,22,,get_tokens_unprocessed,dialect_set_by_tag,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
149,pygments,2.20.0,pygments-2.20.0\pygments\lexers\sql.py,PostgresBase,118,,get_tokens_unprocessed,text,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
150,pygments,2.20.0,pygments-2.20.0\pygments\sphinxext.py,PygmentsDoc,60,,run,filenames,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
151,pygments,2.20.0,pygments-2.20.0\pygments\scanner.py,Scanner,27,,scan,"last,match,pos,start_pos",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
152,pygments,2.20.0,pygments-2.20.0\pygments\lexers\robotframework.py,Setting,208,,_tokenize,_custom_tokenizer,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
153,pygments,2.20.0,pygments-2.20.0\pygments\lexers\robotframework.py,SettingTable,356,,_tokenize,_tokenizer,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
154,pygments,2.20.0,pygments-2.20.0\pygments\lexers\tnt.py,TNTLexer,20,,get_tokens_unprocessed,cur,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
155,pygments,2.20.0,pygments-2.20.0\pygments\lexers\robotframework.py,TestCaseTable,372,,_tokenize,"_test_template,_tokenizer",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
156,pygments,2.20.0,pygments-2.20.0\pygments\lexers\robotframework.py,Tokenizer,180,,tokenize,_index,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
157,pygments,2.20.0,pygments-2.20.0\pygments\lexers\sql.py,lookahead,284,,send,_nextitem,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
158,pyparsing,3.3.2,pyparsing-3.3.2\pyparsing\actions.py,OnlyOnce,19,,__call__,called,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
159,pyparsing,3.3.2,pyparsing-3.3.2\pyparsing\util.py,_GroupConsecutive,188,,__call__,value,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
160,requests,2.34.2,requests-2.34.2\src\requests\models.py,Response,730,,iter_content,_content_consumed,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
161,soupsieve,2.8.3,soupsieve-2.8.3\soupsieve\css_match.py,CSSMatch,544,,match_selectors,"iframe_restrict,namespaces",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
162,soupsieve,2.8.3,soupsieve-2.8.3\soupsieve\css_parser.py,SpecialPseudoPattern,323,,match,matched_name,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
163,tenacity,9.1.4,tenacity-9.1.4\tenacity\asyncio\__init__.py,AsyncRetrying,67,,__aiter__,_retry_state,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
164,tomlkit,0.15.0,tomlkit-0.15.0\tomlkit\source.py,Source,77,,inc,"_current,_idx",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
165,tomlkit,0.15.0,tomlkit-0.15.0\tomlkit\toml_file.py,TOMLFile,18,,read,_linesep,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
166,tqdm,4.67.3,tqdm-4.67.3\tqdm\contrib\discord.py,DiscordIO,26,,message_id,_message_id,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
167,tqdm,4.67.3,tqdm-4.67.3\tqdm\std.py,EMA,213,,__call__,"calls,last",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
168,tqdm,4.67.3,tqdm-4.67.3\tqdm\utils.py,FormatReplace,102,,__format__,format_called,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
169,tqdm,4.67.3,tqdm-4.67.3\tqdm\contrib\slack.py,SlackIO,26,,write,text,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
170,tqdm,4.67.3,tqdm-4.67.3\tqdm\contrib\telegram.py,TelegramIO,24,,message_id,_message_id,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
171,tqdm,4.67.3,tqdm-4.67.3\tqdm\std.py,tqdm,244,,__reversed__,iterable,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
172,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\response.py,BaseHTTPResponse,451,,_decode,_has_decoded_content,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
173,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\response.py,BytesQueueBuffer,374,,get,_size,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
174,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\response.py,DeflateDecoder,66,,decompress,"_first_try,_first_try_data,_obj,_unfed_data",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
175,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\contrib\emscripten\response.py,EmscriptenHttpResponseWrapper,30,,read,"_body,_uncached_read_occurred,length_is_certain,length_remaining",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
176,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\response.py,GzipDecoder,131,,decompress,"_obj,_state,_unconsumed_tail",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
177,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\connection.py,HTTPConnection,82,,getresponse,_response_options,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
178,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\connectionpool.py,HTTPConnectionPool,120,,_new_conn,num_connections,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
179,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\connection.py,HTTPSConnection,603,,_connect_tls_proxy,proxy_is_verified,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
180,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\connectionpool.py,HTTPSConnectionPool,976,,_new_conn,num_connections,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
181,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\util\timeout.py,Timeout,25,,start_connect,_start_connect,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
182,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\response.py,ZstdDecoder,250,,decompress,_obj,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
183,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\contrib\emscripten\fetch.py,_JSPIReadStream,302,,_get_next_buffer,"_is_done,current_buffer,current_buffer_pos",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
184,urllib3,2.7.0,urllib3-2.7.0\src\urllib3\contrib\emscripten\fetch.py,_ReadStream,97,,readinto,"is_live,read_len,read_pos",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
185,websockets,16.0,websockets-16.0\src\websockets\sync\messages.py,Assembler,19,,get,get_in_progress,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
186,websockets,16.0,websockets-16.0\src\websockets\extensions\permessage_deflate.py,PerMessageDeflate,33,,decode,"decode_cont_data,decoder",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
187,websockets,16.0,websockets-16.0\src\websockets\server.py,ServerProtocol,48,,accept,handshake_exc,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
188,websockets,16.0,websockets-16.0\src\websockets\asyncio\async_timeout.py,Timeout,120,,_do_exit,"_state,_task,_timeout_handler",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
189,websockets,16.0,websockets-16.0\src\websockets\asyncio\client.py,connect,178,,__init__,"additional_headers,connection_kwargs,logger,open_timeout,process_exception,protocol_factory,proxy,uri,user_agent_header",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
190,websockets,16.0,websockets-16.0\src\websockets\asyncio\server.py,serve,578,,__init__,"create_server,server",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
191,werkzeug,3.1.8,werkzeug-3.1.8\src\werkzeug\serving.py,DechunkedInput,97,,readinto,"_done,_len",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
192,werkzeug,3.1.8,werkzeug-3.1.8\src\werkzeug\wsgi.py,LimitedStream,439,,readinto,_pos,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
193,werkzeug,3.1.8,werkzeug-3.1.8\src\werkzeug\sansio\multipart.py,MultipartDecoder,77,,next_event,"_parts_decoded,_search_position,state",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
194,werkzeug,3.1.8,werkzeug-3.1.8\src\werkzeug\sansio\multipart.py,MultipartEncoder,295,,send_event,state,structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
195,werkzeug,3.1.8,werkzeug-3.1.8\src\werkzeug\wrappers\response.py,Response,39,,_process_range_request,"accept_ranges,content_length,content_range,status_code",structural state mutation may or may not affect later behavior,,medium,structural state mutation may or may not affect later behavior,unknown,source=reviewed_73_package_findings; source review found state mutation on a method/property/call path that returns a value or access handle
