package,version,file_path,class_name,line_start,line_end,read_shaped_methods_or_properties,read_shaped_methods_mutate_state,observation_like_methods_mutate_state,mutated_state_consumed_by_later_reads,composition_or_threshold_visible,audit_label,evidence_note,code_snippet_or_lines
rich,15.0.0,rich-15.0.0\rich\highlighter.py,RegexHighlighter,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"57:     def highlight(self, text: Text) -> None:
58:         """"""Nothing to do""""""
59:
60:
61: class RegexHighlighter(Highlighter):
62:     """"""Applies highlighting from a list of regular expressions.""""""
63:
64:     highlights: ClassVar[Sequence[str]] = []
65:     base_style: ClassVar[str] = """""
rich,15.0.0,rich-15.0.0\rich\pretty.py,Thing,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"1008:     from rich import print
1009:
1010:     print(Pretty(data, indent_guides=True, max_string=20))
1011:
1012:     class Thing:
1013:         def __repr__(self) -> str:
1014:             return ""Hello\x1b[38;5;239m World!""
1015:
1016:     print(Pretty(Thing()))"
rich,15.0.0,rich-15.0.0\rich\style.py,StyleStack,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"761:
762: NULL_STYLE = Style()
763:
764:
765: class StyleStack:
766:     """"""A stack of styles.""""""
767:
768:     __slots__ = [""_stack""]
769:"
six,1.17.0,six-1.17.0\six.py,metaclass,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"862:     """"""Create a base class with a metaclass.""""""
863:     # This requires a bit of explanation: the basic idea is to make a dummy
864:     # metaclass for one level of class instantiation that replaces itself with
865:     # the actual metaclass.
866:     class metaclass(type):
867:
868:         def __new__(cls, name, this_bases, d):
869:             if sys.version_info[:2] >= (3, 7):
870:                 # This version introduced PEP 560 that requires a bit"
stack-data,0.6.3,stack_data-0.6.3\stack_data\core.py,BlankLineRange,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"229:
230: LINE_GAP = LineGap()
231:
232:
233: class BlankLineRange:
234:     """"""
235:     Records the line number range for blank lines gaps between pieces.
236:     For a single blank line, begin_lineno == end_lineno.
237:     """""""
sympy,1.14.0,sympy-1.14.0\sympy\assumptions\relation\equality.py,GreaterThanPredicate,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"157:             assumptions = None
158:         return is_gt(*args, assumptions)
159:
160:
161: class GreaterThanPredicate(BinaryRelation):
162:     """"""
163:     Binary predicate for $>=$.
164:
165:     The purpose of this class is to provide the instance which represent"
sympy,1.14.0,sympy-1.14.0\sympy\codegen\abstract_nodes.py,List,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"5:
6: from sympy.core.containers import Tuple
7:
8:
9: class List(Tuple):
10:     """"""Represents a (frozen) (Python) list (for code printing purposes).""""""
11:     def __eq__(self, other):
12:         if isinstance(other, list):
13:             return self == List(*other)"
sympy,1.14.0,sympy-1.14.0\sympy\codegen\ast.py,_SizedIntType,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"1148:     __slots__ = ()
1149:     cast_nocheck = lambda self, i: Integer(int(i))
1150:
1151:
1152: class _SizedIntType(IntBaseType):
1153:     __slots__ = ('nbits',)
1154:     _fields = Type._fields + __slots__
1155:
1156:     _construct_nbits = Integer"
sympy,1.14.0,sympy-1.14.0\sympy\codegen\numpy_nodes.py,minimum,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"160:     def _eval_rewrite_as_Max(self, *args):
161:         return Max(*self.args)
162:
163:
164: class minimum(Function):
165:     """""" Element-wise minimum of array elements.
166:
167:     Helper class for use with e.g. numpy.minimum
168:"
sympy,1.14.0,sympy-1.14.0\sympy\core\numbers.py,Catalan,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"4016:         elif issubclass(number_cls, Rational):
4017:             return (S.Half, Rational(3, 5, 1))
4018:
4019:
4020: class Catalan(NumberSymbol, metaclass=Singleton):
4021:     r""""""Catalan's constant.
4022:
4023:     Explanation
4024:     ==========="
sympy,1.14.0,sympy-1.14.0\sympy\functions\combinatorial\numbers.py,harmonic,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"758: #                                                                            #
759: #----------------------------------------------------------------------------#
760:
761:
762: class harmonic(DefinedFunction):
763:     r""""""
764:     Harmonic numbers
765:
766:     The nth harmonic number is given by `\operatorname{H}_{n} ="
sympy,1.14.0,sympy-1.14.0\sympy\functions\elementary\trigonometric.py,TrigonometricFunction,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"41: ########################## TRIGONOMETRIC FUNCTIONS ############################
42: ###############################################################################
43:
44:
45: class TrigonometricFunction(DefinedFunction):
46:     """"""Base class for trigonometric functions. """"""
47:
48:     unbranched = True
49:     _singularities = (S.ComplexInfinity,)"
sympy,1.14.0,sympy-1.14.0\sympy\functions\special\polynomials.py,OrthogonalPolynomial,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"24:
25: _x = Dummy('x')
26:
27:
28: class OrthogonalPolynomial(DefinedFunction):
29:     """"""Base class for orthogonal polynomials.
30:     """"""
31:
32:     @classmethod"
sympy,1.14.0,sympy-1.14.0\sympy\geometry\line.py,Ray,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"1339:         t = _symbol(parameter, real=True)
1340:         return [t, -5, 5]
1341:
1342:
1343: class Ray(LinearEntity):
1344:     """"""A Ray is a semi-line in the space with a source point and a direction.
1345:
1346:     Parameters
1347:     =========="
sympy,1.14.0,sympy-1.14.0\sympy\integrals\manualintegrate.py,CiRule,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"607:     b: Expr
608:
609:
610: @dataclass
611: class CiRule(IRule):
612:     def eval(self) -> Expr:
613:         a, b, x = self.a, self.b, self.variable
614:         return cos(b)*Ci(a*x) - sin(b)*Si(a*x)
615:"
sympy,1.14.0,sympy-1.14.0\sympy\integrals\manualintegrate.py,Sec2Rule,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"237:         return -csc(self.variable)
238:
239:
240: @dataclass
241: class Sec2Rule(TrigRule):
242:     """"""integrate(sec(x)**2, x) -> tan(x)""""""
243:     def eval(self) -> Expr:
244:         return tan(self.variable)
245:"
sympy,1.14.0,sympy-1.14.0\sympy\logic\algorithms\dpll2.py,Level,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"675:         """"""Clean up learned clauses.""""""
676:         pass
677:
678:
679: class Level:
680:     """"""
681:     Represents a single level in the DPLL algorithm, and contains
682:     enough information for a sound backtracking procedure.
683:     """""""
sympy,1.14.0,sympy-1.14.0\sympy\logic\algorithms\lra_theory.py,LRARational,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"849:     def __hash__(self):
850:         return hash((self.var, self.bound, self.strict, self.upper, self.equality))
851:
852:
853: class LRARational():
854:     """"""
855:     Represents a rational plus or minus some amount
856:     of arbitrary small deltas.
857:     """""""
sympy,1.14.0,sympy-1.14.0\sympy\matrices\expressions\factorizations.py,UofSVD,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"34:     @property
35:     def predicates(self):
36:         return (Q.diagonal,)
37:
38: class UofSVD(Factorization):
39:     @property
40:     def predicates(self):
41:         return (Q.orthogonal,)
42: class SofSVD(Factorization):"
sympy,1.14.0,sympy-1.14.0\sympy\physics\quantum\innerproduct.py,InnerProduct,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"18: # (we use _eval_conjugate) and represent (we can use atoms and subs). Having
19: # it be an Expr, mean that there are no commutative QExpr subclasses,
20: # which simplifies the design of everything.
21:
22: class InnerProduct(Expr):
23:     """"""An unevaluated inner product between a Bra and a Ket [1].
24:
25:     Parameters
26:     =========="
sympy,1.14.0,sympy-1.14.0\sympy\physics\quantum\operator.py,Operator,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"38: # Operators and outer products
39: #-----------------------------------------------------------------------------
40:
41:
42: class Operator(QExpr):
43:     """"""Base class for non-commuting quantum operators.
44:
45:     An operator maps between quantum states [1]_. In quantum mechanics,
46:     observables (including, but not limited to, measured physical values) are"
sympy,1.14.0,sympy-1.14.0\sympy\physics\quantum\qubit.py,IntQubitState,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"283:     def dual_class(self):
284:         return Qubit
285:
286:
287: class IntQubitState(QubitState):
288:     """"""A base class for qubits that work with binary representations.""""""
289:
290:     @classmethod
291:     def _eval_args(cls, args, nqubits=None):"
sympy,1.14.0,sympy-1.14.0\sympy\physics\vector\vector.py,VectorTypeError,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"791:             new_args.append([mat, frame])
792:         return Vector(new_args)
793:
794:
795: class VectorTypeError(TypeError):
796:
797:     def __init__(self, other, want):
798:         msg = filldedent(""Expected an instance of %s, but received object ""
799:                          ""'%s' of %s."" % (type(want), other, type(other)))"
sympy,1.14.0,sympy-1.14.0\sympy\polys\domains\gaussiandomains.py,GaussianIntegerRing,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"324:         if K0.ext.args[0] == I:
325:             return K1.from_sympy(K0.to_sympy(a))
326:
327:
328: class GaussianIntegerRing(GaussianDomain, Ring):
329:     r""""""Ring of Gaussian integers ``ZZ_I``
330:
331:     The :ref:`ZZ_I` domain represents the `Gaussian integers`_ `\mathbb{Z}[i]`
332:     as a :py:class:`~.Domain` in the domain system (see"
sympy,1.14.0,sympy-1.14.0\sympy\polys\domains\gmpyintegerring.py,GMPYIntegerRing,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"11: from sympy.polys.polyerrors import CoercionFailed
12: from sympy.utilities import public
13:
14: @public
15: class GMPYIntegerRing(IntegerRing):
16:     """"""Integer ring based on GMPY's ``mpz`` type.
17:
18:     This will be the implementation of :ref:`ZZ` if ``gmpy`` or ``gmpy2`` is
19:     installed. Elements will be of type ``gmpy.mpz``."
sympy,1.14.0,sympy-1.14.0\sympy\polys\matrices\_dfm.py,DFM,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"66: __all__ = ['DFM']
67:
68:
69: @doctest_depends_on(ground_types=['flint'])
70: class DFM:
71:     """"""
72:     Dense FLINT matrix. This class is a wrapper for matrices from python-flint.
73:
74:     >>> from sympy.polys.domains import ZZ"
sympy,1.14.0,sympy-1.14.0\sympy\polys\matrices\exceptions.py,DMNonSquareMatrixError,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"49:     """"""shapes are inconsistent""""""
50:     pass
51:
52:
53: class DMNonSquareMatrixError(DMShapeError):
54:     """"""The matrix is not square""""""
55:     pass
56:
57:"
sympy,1.14.0,sympy-1.14.0\sympy\polys\numberfields\exceptions.py,ClosureFailure,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"1: """"""Special exception classes for numberfields. """"""
2:
3:
4: class ClosureFailure(Exception):
5:     r""""""
6:     Signals that a :py:class:`ModuleElement` which we tried to represent in a
7:     certain :py:class:`Module` cannot in fact be represented there.
8:"
sympy,1.14.0,sympy-1.14.0\sympy\polys\polyerrors.py,GeneratorsError,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"125:      having a factor whose solutions are not expressible in radicals
126:      is encountered.""""""
127:
128: @public
129: class GeneratorsError(BasePolynomialError):
130:     pass
131:
132: @public
133: class GeneratorsNeeded(GeneratorsError):"
sympy,1.14.0,sympy-1.14.0\sympy\polys\polyerrors.py,ModularGCDFailed,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"67: @public
68: class HeuristicGCDFailed(BasePolynomialError):
69:     pass
70:
71: class ModularGCDFailed(BasePolynomialError):
72:     pass
73:
74: @public
75: class HomomorphismFailed(BasePolynomialError):"
sympy,1.14.0,sympy-1.14.0\sympy\polys\polyoptions.py,OptionType,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"57:         else:
58:             raise OptionError(""'%s' must have a boolean value assigned, got %s"" % (cls.option, value))
59:
60:
61: class OptionType(type):
62:     """"""Base type for all options that does registers options. """"""
63:
64:     def __init__(cls, *args, **kwargs):
65:         @property"
sympy,1.14.0,sympy-1.14.0\sympy\polys\rootoftools.py,_pure_key_dict,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"34: __all__ = ['CRootOf']
35:
36:
37:
38: class _pure_key_dict:
39:     """"""A minimal dictionary that makes sure that the key is a
40:     univariate PurePoly instance.
41:
42:     Examples"
sympy,1.14.0,sympy-1.14.0\sympy\printing\smtlib.py,SMTLibPrinter,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"21: from sympy.assumptions.ask import Q
22: from sympy.assumptions.relation.equality import StrictGreaterThanPredicate, StrictLessThanPredicate, GreaterThanPredicate, LessThanPredicate, EqualityPredicate
23:
24:
25: class SMTLibPrinter(Printer):
26:     printmethod = ""_smtlib""
27:
28:     # based on dReal, an automated reasoning tool for solving problems that can be encoded as first-order logic formulas over the real numbers.
29:     # dReal's special strength is in handling problems that involve a wide range of nonlinear real functions."
sympy,1.14.0,sympy-1.14.0\sympy\series\gruntz.py,Node,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"551:     To do this we assemble the nodes into a tree, and sort them by height.
552:
553:     This function builds the tree, rewrites then sorts the nodes.
554:     """"""
555:     class Node:
556:         def __init__(self):
557:             self.before = []
558:             self.expr = None
559:             self.var = None"
sympy,1.14.0,sympy-1.14.0\sympy\sets\sets.py,UniversalSet,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"1889:     def _symmetric_difference(self, other):
1890:         return other
1891:
1892:
1893: class UniversalSet(Set, metaclass=Singleton):
1894:     """"""
1895:     Represents the set of all things.
1896:     The universal set is available as a singleton as ``S.UniversalSet``.
1897:"
sympy,1.14.0,sympy-1.14.0\sympy\stats\crv_types.py,FDistributionDistribution,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"1577: #-------------------------------------------------------------------------------
1578: # F distribution ---------------------------------------------------------------
1579:
1580:
1581: class FDistributionDistribution(SingleContinuousDistribution):
1582:     _argnames = ('d1', 'd2')
1583:
1584:     set = Interval(0, oo)
1585:"
sympy,1.14.0,sympy-1.14.0\sympy\stats\rv.py,MatrixDomain,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"124:         sym, val = tuple(other)[0]
125:         return self.symbol == sym and val in self.set
126:
127:
128: class MatrixDomain(RandomDomain):
129:     """"""
130:     A Random Matrix variable and its domain.
131:
132:     """""""
sympy,1.14.0,sympy-1.14.0\sympy\tensor\array\ndim_array.py,ArrayKind,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"11: import itertools
12: from collections.abc import Iterable
13:
14:
15: class ArrayKind(Kind):
16:     """"""
17:     Kind for N-dimensional array in SymPy.
18:
19:     This kind represents the multidimensional array that algebraic"
sympy,1.14.0,sympy-1.14.0\sympy\utilities\codegen.py,InputArgument,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"366:     """"""
367:     pass
368:
369:
370: class InputArgument(Argument):
371:     pass
372:
373:
374: class ResultBase:"
sympy,1.14.0,sympy-1.14.0\sympy\utilities\codegen.py,JuliaCodeGen,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"1300:     # functions it has to call.
1301:     dump_fns = [dump_f95, dump_h]
1302:
1303:
1304: class JuliaCodeGen(CodeGen):
1305:     """"""Generator for Julia code.
1306:
1307:     The .write() method inherited from CodeGen will output a code file
1308:     <prefix>.jl."
sympy,1.14.0,sympy-1.14.0\sympy\utilities\matchpy_connector.py,_WildAbstract,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"120:             self.optional = optional
121:
122:
123: @doctest_depends_on(modules=('matchpy',))
124: class _WildAbstract(Wildcard, Symbol):
125:     min_length: int  # abstract field required in subclasses
126:     fixed_size: bool  # abstract field required in subclasses
127:
128:     def __init__(self, variable_name=None, optional=None, **assumptions):"
sympy,1.14.0,sympy-1.14.0\sympy\vector\orienters.py,AxisOrienter,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"20:         """"""
21:         return self._parent_orient
22:
23:
24: class AxisOrienter(Orienter):
25:     """"""
26:     Class to denote an axis orienter.
27:     """"""
28:"
traitlets,5.15.1,traitlets-5.15.1\traitlets\config\configurable.py,SingletonConfigurable,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"513:
514: CT = t.TypeVar(""CT"", bound=""SingletonConfigurable"")
515:
516:
517: class SingletonConfigurable(LoggingConfigurable):
518:     """"""A configurable that only allows one instance.
519:
520:     This class is for classes that should only have one instance of itself
521:     or *any* subclass. To create and retrieve such a class use the"
traitlets,5.15.1,traitlets-5.15.1\traitlets\config\loader.py,ConfigFileNotFound,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"30: class ConfigLoaderError(ConfigError):
31:     pass
32:
33:
34: class ConfigFileNotFound(ConfigError):
35:     pass
36:
37:
38: class ArgumentError(ConfigLoaderError):"
virtualenv,21.5.1,virtualenv-21.5.1\src\virtualenv\create\via_global_ref\builtin\graalpy\__init__.py,GraalPyWindows,,,,,,,,uncertain,Reviewed-corpus source files are missing from the repo/cache. This fallback row comes from the expanded SAFE manual-review queue; the stored excerpt is insufficient to prove an OSDS miss or nonmatch.,"81:             return lib_dir / ""libpythonvm.dylib""
82:         return lib_dir / ""libpythonvm.so""
83:
84:
85: class GraalPyWindows(GraalPy, WindowsSupports):
86:     @classmethod
87:     def _native_lib(cls, lib_dir: Path, platform: str) -> Path:  # noqa: ARG003
88:         return lib_dir / ""pythonvm.dll""
89:"
