sweep_rank,package,version,class_name,file_path,selected_score,attempted_runnable_harness,classification,reproduced,output_diff,branch_flip,state_diff,operation_A,operation_B,result_A_summary,result_B_summary,failure_reason,notes,harness_path,json_output_path
37,docutils,0.22.4,Line,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_37_docutils_Line.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_37_docutils_Line.json
38,docutils,0.22.4,LineBlock,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_38_docutils_LineBlock.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_38_docutils_LineBlock.json
39,docutils,0.22.4,OptionList,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_39_docutils_OptionList.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_39_docutils_OptionList.json
40,docutils,0.22.4,RFC2822Body,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_40_docutils_RFC2822Body.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_40_docutils_RFC2822Body.json
41,docutils,0.22.4,RFC2822List,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_41_docutils_RFC2822List.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_41_docutils_RFC2822List.json
42,docutils,0.22.4,Text,docutils-0.22.4\docutils\parsers\rst\states.py,10,True,could_not_construct,False,False,False,False,,,{},{},constructor requires arguments: state_machine,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_42_docutils_Text.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_42_docutils_Text.json
43,docutils,0.22.4,Reader,docutils-0.22.4\docutils\readers\__init__.py,10,True,structural_only_no_runtime_difference,False,False,False,False,read() once on fresh instance,read() once first; then read() again,"{""after"": {""input"": ""None"", ""parser"": ""None"", ""source"": ""None""}, ""before"": {""input"": ""None"", ""parser"": ""None"", ""source"": ""None""}, ""result"": {""kind"": ""not_callable_without_args"", ""required"": [""source"", ""parser"", ""settings""]}}","{""after"": {""input"": ""None"", ""parser"": ""None"", ""source"": ""None""}, ""after_observation"": {""input"": ""None"", ""parser"": ""None"", ""source"": ""None""}, ""before"": {""input"": ""None"", ""parser"": ""None"", ""source"": ""None""}, ""observation_result"": {""kind"": ""not_callable_without_args"", ""required"": [""source"", ""parser""...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_43_docutils_Reader.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_43_docutils_Reader.json
44,docutils,0.22.4,ViewList,docutils-0.22.4\docutils\statemachine.py,10,True,structural_only_no_runtime_difference,False,False,False,False,__iadd__() once on fresh instance,__iadd__() once first; then __iadd__() again,"{""after"": {""data"": ""[]"", ""items"": ""[]"", ""parent"": ""None"", ""parent_offset"": ""None""}, ""before"": {""data"": ""[]"", ""items"": ""[]"", ""parent"": ""None"", ""parent_offset"": ""None""}, ""result"": {""kind"": ""not_callable_without_args"", ""required"": [""other""]}}","{""after"": {""data"": ""[]"", ""items"": ""[]"", ""parent"": ""None"", ""parent_offset"": ""None""}, ""after_observation"": {""data"": ""[]"", ""items"": ""[]"", ""parent"": ""None"", ""parent_offset"": ""None""}, ""before"": {""data"": ""[]"", ""items"": ""[]"", ""parent"": ""None"", ""parent_offset"": ""None""}, ""observation_result"": {""kind"": ""no...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_44_docutils_ViewList.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_44_docutils_ViewList.json
45,docutils,0.22.4,MathElement,docutils-0.22.4\docutils\utils\math\mathml_elements.py,10,True,not_applicable_after_inspection,False,False,False,False,,,{},{},method is not treated as read/observer-shaped: close,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_45_docutils_MathElement.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_45_docutils_MathElement.json
46,docutils,0.22.4,MathSchema,docutils-0.22.4\docutils\utils\math\mathml_elements.py,10,True,structural_only_no_runtime_difference,False,False,False,False,append() once on fresh instance,append() once first; then append() again,"{""after"": {""switch"": ""False""}, ""before"": {""switch"": ""False""}, ""result"": {""kind"": ""not_callable_without_args"", ""required"": [""element""]}}","{""after"": {""switch"": ""False""}, ""after_observation"": {""switch"": ""False""}, ""before"": {""switch"": ""False""}, ""observation_result"": {""kind"": ""not_callable_without_args"", ""required"": [""element""]}, ""result"": {""kind"": ""not_callable_without_args"", ""required"": [""element""]}}",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_46_docutils_MathSchema.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_46_docutils_MathSchema.json
47,docutils,0.22.4,Writer,docutils-0.22.4\docutils\writers\__init__.py,10,True,unsafe_to_execute,False,False,False,False,,,{},{},method name treated as unsafe: write,generic harness did not execute candidate behavior,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_47_docutils_Writer.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_47_docutils_Writer.json
48,docutils,0.22.4,Writer,docutils-0.22.4\docutils\writers\pep_html\__init__.py,10,True,structural_only_no_runtime_difference,False,False,False,False,interpolation_dict() once on fresh instance,interpolation_dict() once first; then interpolation_dict() again,"{""after"": {""parts"": ""{}"", ""translator_class"": ""<class 'docutils.writers.pep_html.__init__.HTMLTranslator'>""}, ""before"": {""parts"": ""{}"", ""translator_class"": ""<class 'docutils.writers.pep_html.__init__.HTMLTranslator'>""}, ""result"": {""kind"": ""exception"", ""message"": ""'NoneType' object has no attribut...","{""after"": {""parts"": ""{}"", ""translator_class"": ""<class 'docutils.writers.pep_html.__init__.HTMLTranslator'>""}, ""after_observation"": {""parts"": ""{}"", ""translator_class"": ""<class 'docutils.writers.pep_html.__init__.HTMLTranslator'>""}, ""before"": {""parts"": ""{}"", ""translator_class"": ""<class 'docutils.wr...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_48_docutils_Writer.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_48_docutils_Writer.json
49,h11,0.16.0,ChunkedReader,h11-0.16.0\h11\_readers.py,10,True,structural_only_no_runtime_difference,False,False,False,False,__call__() once on fresh instance,__call__() once first; then __call__() again,"{""after"": {""_bytes_in_chunk"": ""0"", ""_bytes_to_discard"": ""b''"", ""_reading_trailer"": ""False""}, ""before"": {""_bytes_in_chunk"": ""0"", ""_bytes_to_discard"": ""b''"", ""_reading_trailer"": ""False""}, ""result"": {""kind"": ""not_callable_without_args"", ""required"": [""buf""]}}","{""after"": {""_bytes_in_chunk"": ""0"", ""_bytes_to_discard"": ""b''"", ""_reading_trailer"": ""False""}, ""after_observation"": {""_bytes_in_chunk"": ""0"", ""_bytes_to_discard"": ""b''"", ""_reading_trailer"": ""False""}, ""before"": {""_bytes_in_chunk"": ""0"", ""_bytes_to_discard"": ""b''"", ""_reading_trailer"": ""False""}, ""observ...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_49_h11_ChunkedReader.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_49_h11_ChunkedReader.json
50,h11,0.16.0,ReceiveBuffer,h11-0.16.0\h11\_receivebuffer.py,10,True,structural_only_no_runtime_difference,False,False,False,False,__iadd__() once on fresh instance,__iadd__() once first; then __iadd__() again,"{""after"": {""_data"": ""bytearray(b'')"", ""_multiple_lines_search"": ""0"", ""_next_line_search"": ""0""}, ""before"": {""_data"": ""bytearray(b'')"", ""_multiple_lines_search"": ""0"", ""_next_line_search"": ""0""}, ""result"": {""kind"": ""not_callable_without_args"", ""required"": [""byteslike""]}}","{""after"": {""_data"": ""bytearray(b'')"", ""_multiple_lines_search"": ""0"", ""_next_line_search"": ""0""}, ""after_observation"": {""_data"": ""bytearray(b'')"", ""_multiple_lines_search"": ""0"", ""_next_line_search"": ""0""}, ""before"": {""_data"": ""bytearray(b'')"", ""_multiple_lines_search"": ""0"", ""_next_line_search"": ""0""}...",,generic safe repeated-operation harness; confirmation depends on no-arg construction and no-arg operation,<repo>\paper_artifacts\scp_behavioral_sweep\harnesses\case_50_h11_ReceiveBuffer.py,<repo>\paper_artifacts\scp_behavioral_sweep\outputs\case_50_h11_ReceiveBuffer.json
